industry,category,subcategory,description,costType,vendor,department,modelService,cloudRegion,environment,usageUnit,quantity,unitCost,monthlyCost,annualizedCost,billingAccount,contractId,startDate,endDate,owner,tags,notes
Retail,Model/API,Text Generation,Retail - Model/API Text Generation cost line,Variable,AWS,Service,GPT-4o,Tokyo,Prod,Tokens,1353399.3,0.00001,13.53,162.36,BA-658-To,C001,2025-01-12,2025-10-10,Hanim,"AI, Cloud",Synthetic sample data for template robustness
Manufacturing,Professional Services,Support,Manufacturing - Professional Services Support cost line,Fixed,Cohere,AI Ops,-,Tokyo,Prod,Seat,21,1768.25,37133.25,445599,BA-529-To,C002,2025-01-29,2025-09-20,Shakira,"AI, Agentic, FinOps",Synthetic sample data for template robustness
Healthcare,Networking,Egress,Healthcare - Networking Egress cost line,Fixed,Databricks,Sales,-,Singapore,Dev,Runs,49.26,0.12728,6.27,75.24,BA-718-Si,C003,2025-02-03,2025-12-26,Sourabh,"Pilot, Cloud, Security, AI",Synthetic sample data for template robustness
CPG,Observability,Tracing,CPG - Observability Tracing cost line,Variable,Anthropic,Sales,-,Singapore,Prod,Images,386.76,0.1478,57.16,685.92,BA-975-Si,C004,2025-01-30,2026-01-06,Sourabh,"Compliance, Pilot, FinOps",Synthetic sample data for template robustness
Government,Observability,Metrics,Government - Observability Metrics cost line,Variable,Azure,Sales,-,Virginia,Prod,GB-Hours,36.63,3.8281,140.22,1682.64,BA-646-Vi,C005,2025-04-04,2025-10-03,Jin,"Prod, Compliance, FinOps",Synthetic sample data for template robustness
Energy,Observability,Logging,Energy - Observability Logging cost line,Fixed,OpenAI,Sales,-,Sydney,Stage,Minutes,34.03,0.13706,4.66,55.92,BA-680-Sy,C006,2025-04-23,2026-02-20,Vedant,"Pilot, Prod",Synthetic sample data for template robustness
Insurance,Data Platform,Data Warehouse,Insurance - Data Platform Data Warehouse cost line,Variable,AWS,Marketing,-,Virginia,Prod,Requests,132.11,0.0881,11.64,139.68,BA-697-Vi,C007,2025-02-21,2025-09-21,Jin,"SG, Pilot",Synthetic sample data for template robustness
CPG,Model/API,Vision,CPG - Model/API Vision cost line,Variable,Snowflake,Marketing,Gemini 1.5 Pro,Singapore,Stage,Runs,298.35,0.07074,21.11,253.32,BA-357-Si,C008,2025-03-12,2026-02-15,Sourabh,"Cloud, Compliance, Prod, FinOps",Synthetic sample data for template robustness
Telecom,Networking,Ingress,Telecom - Networking Ingress cost line,Variable,UiPath,Marketing,-,Singapore,Prod,GB-Hours,132.43,3.0285,401.06,4812.72,BA-282-Si,C009,2025-03-06,2026-02-22,Sourabh,"Compliance, Security, Cloud, Agentic",Synthetic sample data for template robustness
Telecom,Observability,Metrics,Telecom - Observability Metrics cost line,Fixed,Anthropic,AI Ops,-,Sydney,Stage,Images,29.9,0.13182,3.94,47.28,BA-180-Sy,C010,2025-01-11,2025-11-14,Hanim,"SG, Agentic",Synthetic sample data for template robustness
CPG,Professional Services,Implementation,CPG - Professional Services Implementation cost line,Fixed,Cohere,Service,-,Frankfurt,Stage,Seat,7,2325.84,16280.88,195370.56,BA-873-Fr,C011,2025-04-04,2026-01-25,Jin,"Compliance, Prod, FinOps, Pilot",Synthetic sample data for template robustness
Retail,Professional Services,Advisory,Retail - Professional Services Advisory cost line,Variable,AWS,Data Science,-,Tokyo,Dev,Seat,11,101.53,1116.83,13401.96,BA-667-To,C012,2025-01-30,2025-10-27,Jin,"Cloud, AI",Synthetic sample data for template robustness
Insurance,Cloud Compute,CPU,Insurance - Cloud Compute CPU cost line,Fixed,Cohere,Data Science,GPT-4o,Sydney,Prod,Runs,107.9,0.02071,2.23,26.76,BA-684-Sy,C013,2025-03-15,2025-11-11,Jin,"Prod, Security, AI",Synthetic sample data for template robustness
Retail,Observability,Metrics,Retail - Observability Metrics cost line,Fixed,UiPath,Finance,-,Virginia,Dev,GB-Hours,327.07,3.8948,1273.87,15286.44,BA-162-Vi,C014,2025-02-21,2025-12-24,Vedant,"Security, SG",Synthetic sample data for template robustness
Insurance,Data Platform,Data Warehouse,Insurance - Data Platform Data Warehouse cost line,Variable,Azure,Marketing,-,Mumbai,Dev,Tokens,886262.05,0.00001,8.86,106.32,BA-982-Mu,C015,2025-04-20,2026-01-05,Sourabh,"SG, AI",Synthetic sample data for template robustness
Retail,Data Platform,Data Warehouse,Retail - Data Platform Data Warehouse cost line,Fixed,UiPath,Supply Chain,-,Tokyo,Stage,Tokens,329275.08,0.00001,3.29,39.48,BA-102-To,C016,2025-02-19,2025-08-25,Hanim,"Prod, Pilot, Cloud",Synthetic sample data for template robustness
Telecom,Storage,Blob,Telecom - Storage Blob cost line,Variable,Cohere,IT / Platform,-,Singapore,Prod,Minutes,29.53,0.08804,2.6,31.2,BA-614-Si,C017,2025-04-28,2026-04-01,Shakira,"AI, Cloud",Synthetic sample data for template robustness
Government,Model/API,Vision,Government - Model/API Vision cost line,Fixed,Anthropic,Finance,Gemini 1.5 Pro,Tokyo,Prod,Requests,20.83,0.01322,0.28,3.36,BA-773-To,C018,2025-03-16,2025-12-05,Shakira,"Compliance, Security, FinOps",Synthetic sample data for template robustness
Healthcare,Storage,Object,Healthcare - Storage Object cost line,Fixed,Google Cloud,Finance,-,Virginia,Prod,Minutes,229.16,0.13942,31.95,383.4,BA-174-Vi,C019,2025-01-02,2025-08-27,Shakira,"Cloud, SG, Compliance, Pilot",Synthetic sample data for template robustness
Telecom,Data Platform,Data Warehouse,Telecom - Data Platform Data Warehouse cost line,Fixed,AWS,Data Science,-,Sydney,Stage,Images,219.65,0.08194,18,216,BA-409-Sy,C020,2025-03-20,2026-02-09,Wei Wei,"AI, Compliance, FinOps, SG",Synthetic sample data for template robustness
Energy,Model/API,Text Generation,Energy - Model/API Text Generation cost line,Fixed,Google Cloud,HR,Claude 3.5 Sonnet,Sydney,Prod,Images,359.09,0.03134,11.25,135,BA-749-Sy,C021,2025-04-20,2025-10-24,Shakira,"Compliance, AI, Pilot",Synthetic sample data for template robustness
Healthcare,Networking,Egress,Healthcare - Networking Egress cost line,Variable,Databricks,AI Ops,-,Tokyo,Prod,Minutes,81.63,0.06683,5.46,65.52,BA-822-To,C022,2025-02-24,2025-11-14,Sourabh,"Cloud, Agentic",Synthetic sample data for template robustness
CPG,Observability,Tracing,CPG - Observability Tracing cost line,Fixed,Google Cloud,HR,-,Mumbai,Dev,Tokens,616517.39,0.00001,6.17,74.04,BA-915-Mu,C023,2025-04-21,2025-08-29,Vedant,"Security, Cloud",Synthetic sample data for template robustness
Government,Data Platform,ETL,Government - Data Platform ETL cost line,Variable,Google Cloud,Marketing,-,Mumbai,Dev,Images,368.55,0.0505,18.61,223.32,BA-521-Mu,C024,2025-04-13,2026-01-29,Wei Wei,"Compliance, Agentic",Synthetic sample data for template robustness
CPG,Platform License,Orchestration,CPG - Platform License Orchestration cost line,Fixed,AWS,Supply Chain,-,Tokyo,Stage,Seat,12,797.72,9572.64,114871.68,BA-914-To,C025,2025-04-22,2025-10-17,Jin,"Security, Prod",Synthetic sample data for template robustness
CPG,Model/API,Embeddings,CPG - Model/API Embeddings cost line,Fixed,Cohere,Risk & Fraud,Claude 3 Opus,Virginia,Prod,Minutes,469.68,0.01819,8.54,102.48,BA-367-Vi,C026,2025-01-23,2025-10-18,Vedant,"Cloud, Prod",Synthetic sample data for template robustness
Energy,Platform License,Tuning Studio,Energy - Platform License Tuning Studio cost line,Fixed,Anthropic,HR,-,Mumbai,Prod,Seat,7,674.07,4718.49,56621.88,BA-825-Mu,C027,2025-02-25,2025-06-25,Shakira,"Security, FinOps, SG, AI",Synthetic sample data for template robustness
Media,Observability,Tracing,Media - Observability Tracing cost line,Fixed,Azure,Data Science,-,Frankfurt,Stage,GB-Hours,204.79,2.4443,500.57,6006.84,BA-402-Fr,C028,2025-03-12,2025-08-11,Jin,"Prod, Agentic, Compliance",Synthetic sample data for template robustness
Logistics,Platform License,Tuning Studio,Logistics - Platform License Tuning Studio cost line,Variable,Azure,AI Ops,-,Sydney,Dev,Seat,14,1975.11,27651.54,331818.48,BA-721-Sy,C029,2025-03-25,2025-10-13,Hanim,"Pilot, Security, Compliance",Synthetic sample data for template robustness
Media,Model/API,Embeddings,Media - Model/API Embeddings cost line,Variable,Databricks,HR,GPT-4.1,Tokyo,Prod,Minutes,113.1,0.03067,3.47,41.64,BA-125-To,C030,2025-01-06,2025-07-07,Hanim,"Cloud, Pilot, Security, FinOps",Synthetic sample data for template robustness
Government,Platform License,Agent Runtime,Government - Platform License Agent Runtime cost line,Fixed,AWS,Finance,-,Tokyo,Prod,Seat,23,63.58,1462.34,17548.08,BA-868-To,C031,2025-04-21,2026-03-04,Sourabh,"Security, Agentic, Prod",Synthetic sample data for template robustness
Logistics,Cloud Compute,GPU/TPU,Logistics - Cloud Compute GPU/TPU cost line,Variable,UiPath,Data Science,GPT-4o,Mumbai,Prod,Requests,493.96,0.08972,44.32,531.84,BA-873-Mu,C032,2025-04-25,2025-12-14,Shakira,"SG, Prod, Pilot, Compliance",Synthetic sample data for template robustness
Insurance,Human,Product Manager,Insurance - Human Product Manager cost line,Fixed,AWS,Service,-,-,-,FTE,21,729.41,15317.61,183811.32,BA-896-XX,C033,2025-03-08,2025-11-07,Wei Wei,"Compliance, Pilot",Synthetic sample data for template robustness
Logistics,Storage,Object,Logistics - Storage Object cost line,Fixed,Databricks,Risk & Fraud,-,Frankfurt,Dev,Images,76.26,0.05807,4.43,53.16,BA-256-Fr,C034,2025-04-01,2025-09-22,Sourabh,"Prod, FinOps, Compliance",Synthetic sample data for template robustness
Retail,Cloud Compute,GPU/TPU,Retail - Cloud Compute GPU/TPU cost line,Fixed,Snowflake,Finance,Gemini 1.5 Pro,Virginia,Dev,Requests,190.81,0.00188,0.36,4.32,BA-460-Vi,C035,2025-02-08,2025-12-17,Hanim,"SG, Security, Pilot",Synthetic sample data for template robustness
Manufacturing,Platform License,Agent Runtime,Manufacturing - Platform License Agent Runtime cost line,Variable,Snowflake,AI Ops,-,Sydney,Prod,Seat,22,2005.45,44119.9,529438.8,BA-841-Sy,C036,2025-01-22,2025-12-23,Hanim,"SG, AI",Synthetic sample data for template robustness
Insurance,Model/API,RAG,Insurance - Model/API RAG cost line,Fixed,UiPath,Marketing,GPT-4o,Singapore,Stage,Runs,164.35,0.06875,11.3,135.6,BA-445-Si,C037,2025-04-08,2026-03-19,Hanim,"Prod, Compliance, SG",Synthetic sample data for template robustness
Energy,Cloud Compute,GPU/TPU,Energy - Cloud Compute GPU/TPU cost line,Variable,AWS,Risk & Fraud,Mixtral 8x7B,Singapore,Prod,Tokens,1508466.65,0.00001,15.08,180.96,BA-353-Si,C038,2025-01-26,2025-12-26,Sourabh,"Agentic, Security, Cloud, Pilot",Synthetic sample data for template robustness
Media,Storage,Object,Media - Storage Object cost line,Fixed,Databricks,Service,-,Tokyo,Prod,Requests,481.9,0.10804,52.06,624.72,BA-896-To,C039,2025-04-15,2025-09-23,Vedant,"AI, Compliance",Synthetic sample data for template robustness
Manufacturing,Platform License,Tuning Studio,Manufacturing - Platform License Tuning Studio cost line,Fixed,Anthropic,Sales,-,Frankfurt,Prod,Seat,21,644.98,13544.58,162534.96,BA-813-Fr,C040,2025-04-09,2025-10-23,Wei Wei,"Cloud, AI, Agentic, Compliance",Synthetic sample data for template robustness
Logistics,Model/API,Embeddings,Logistics - Model/API Embeddings cost line,Fixed,Snowflake,AI Ops,Claude 3 Opus,Singapore,Stage,Minutes,318.16,0.12448,39.6,475.2,BA-824-Si,C041,2025-01-20,2025-09-08,Jin,"SG, Compliance, Pilot, Prod",Synthetic sample data for template robustness
CPG,Platform License,Tuning Studio,CPG - Platform License Tuning Studio cost line,Variable,Azure,IT / Platform,-,Sydney,Dev,Seat,3,733.37,2200.11,26401.32,BA-561-Sy,C042,2025-02-01,2025-12-10,Hanim,"Prod, FinOps, AI, Security",Synthetic sample data for template robustness
Government,Human,MLE,Government - Human MLE cost line,Fixed,Azure,Risk & Fraud,-,-,-,FTE,11,735.16,8086.76,97041.12,BA-710-XX,C043,2025-03-31,2026-03-11,Vedant,"AI, Security, SG, Cloud",Synthetic sample data for template robustness
CPG,Human,MLE,CPG - Human MLE cost line,Fixed,UiPath,Supply Chain,-,-,-,FTE,15,1992.69,29890.35,358684.2,BA-195-XX,C044,2025-02-07,2025-08-02,Hanim,"Security, Compliance, FinOps, Pilot",Synthetic sample data for template robustness
CPG,Professional Services,Support,CPG - Professional Services Support cost line,Variable,Snowflake,Risk & Fraud,-,Virginia,Prod,Seat,11,911.94,10031.34,120376.08,BA-564-Vi,C045,2025-02-04,2025-08-21,Vedant,"Cloud, Security",Synthetic sample data for template robustness
Retail,Professional Services,Support,Retail - Professional Services Support cost line,Fixed,AWS,Marketing,-,Tokyo,Prod,Seat,16,727.42,11638.72,139664.64,BA-703-To,C046,2025-04-08,2025-12-18,Shakira,"Cloud, Security, Agentic",Synthetic sample data for template robustness
Media,Data Platform,Data Warehouse,Media - Data Platform Data Warehouse cost line,Fixed,Cohere,AI Ops,-,Tokyo,Stage,Tokens,1948589.89,0.00001,19.49,233.88,BA-666-To,C047,2025-02-07,2025-12-02,Jin,"Pilot, Cloud, Prod, AI",Synthetic sample data for template robustness
Logistics,Human,Product Manager,Logistics - Human Product Manager cost line,Variable,Databricks,Supply Chain,-,-,-,FTE,6,2415.47,14492.82,173913.84,BA-358-XX,C048,2025-05-01,2026-04-06,Hanim,"Cloud, Prod",Synthetic sample data for template robustness
Media,Cloud Compute,GPU/TPU,Media - Cloud Compute GPU/TPU cost line,Fixed,Azure,Marketing,GPT-4.1,Tokyo,Dev,Requests,382.46,0.09134,34.93,419.16,BA-909-To,C049,2025-03-21,2025-09-14,Shakira,"Pilot, SG, Agentic",Synthetic sample data for template robustness
Logistics,Networking,Egress,Logistics - Networking Egress cost line,Fixed,Anthropic,IT / Platform,-,Tokyo,Prod,Images,133.06,0.0131,1.74,20.88,BA-345-To,C050,2025-01-23,2025-10-11,Sourabh,"AI, Prod",Synthetic sample data for template robustness
Retail,Networking,Egress,Retail - Networking Egress cost line,Variable,Azure,Sales,-,Virginia,Stage,GB-Hours,429.94,0.4735,203.58,2442.96,BA-339-Vi,C051,2025-04-29,2025-11-02,Wei Wei,"Security, Prod, AI, Compliance",Synthetic sample data for template robustness
Healthcare,Networking,Egress,Healthcare - Networking Egress cost line,Fixed,OpenAI,Data Science,-,Tokyo,Stage,Requests,374.73,0.08581,32.16,385.92,BA-395-To,C052,2025-02-26,2025-07-27,Hanim,"Compliance, Prod, Agentic, SG",Synthetic sample data for template robustness
Media,Human,Prompt Engineer,Media - Human Prompt Engineer cost line,Variable,OpenAI,IT / Platform,-,-,-,FTE,14,1849.61,25894.54,310734.48,BA-718-XX,C053,2025-02-02,2025-06-08,Sourabh,"AI, Compliance",Synthetic sample data for template robustness
Telecom,Data Platform,Data Warehouse,Telecom - Data Platform Data Warehouse cost line,Fixed,UiPath,HR,-,Sydney,Dev,Requests,218.51,0.12232,26.73,320.76,BA-193-Sy,C054,2025-03-02,2025-09-27,Hanim,"FinOps, Cloud, Prod",Synthetic sample data for template robustness
Healthcare,Platform License,Tuning Studio,Healthcare - Platform License Tuning Studio cost line,Variable,Azure,Supply Chain,-,Virginia,Stage,Seat,25,1397.74,34943.5,419322,BA-565-Vi,C055,2025-01-12,2025-07-31,Vedant,"Cloud, Prod, Pilot",Synthetic sample data for template robustness
QSR,Professional Services,Advisory,QSR - Professional Services Advisory cost line,Fixed,OpenAI,Finance,-,Tokyo,Prod,Seat,12,1575.45,18905.4,226864.8,BA-610-To,C056,2025-03-22,2025-11-10,Sourabh,"Compliance, Agentic",Synthetic sample data for template robustness
Logistics,Human,Prompt Engineer,Logistics - Human Prompt Engineer cost line,Variable,AWS,AI Ops,-,-,-,FTE,23,438.03,10074.69,120896.28,BA-664-XX,C057,2025-01-02,2025-09-20,Hanim,"Security, Cloud",Synthetic sample data for template robustness
Insurance,Data Platform,Data Warehouse,Insurance - Data Platform Data Warehouse cost line,Fixed,Cohere,Service,-,Virginia,Stage,Runs,417.53,0.14706,61.4,736.8,BA-349-Vi,C058,2025-02-28,2025-11-16,Jin,"Security, Agentic, Prod",Synthetic sample data for template robustness
CPG,Platform License,Agent Runtime,CPG - Platform License Agent Runtime cost line,Fixed,Azure,HR,-,Singapore,Stage,Seat,24,781.46,18755.04,225060.48,BA-701-Si,C059,2025-03-16,2025-12-29,Hanim,"Pilot, SG",Synthetic sample data for template robustness
